Type,Distribution Channel,Invoice Number,Year,Month,Date,Representative ,Customer Category,Customer Activity,Customer,Product Group,Product,Customer Grade,Discounts and Promotions(IRR),Volume,Value(IRR)
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم الگانس 100ميل زنانه,B,0,-15,-274980000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم پشن 100 ميل زنانه,B,0,-15,-274980000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تروفي 100 ميل مردانه,B,0,-2,-36664000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تور 100 ميل مردانه,B,0,-6,-109992000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تيتان 100 ميل مردانه,B,0,-6,-109992000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم چلنج 100 ميل زنانه,B,0,-4,-73328000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم ميستيک 100 ميل زنانه,B,0,-4,-73328000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر ايت 100 ميل زنانه,B,0,-3,-16512000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 50,بورلي هيلز پولو کلاب ادوپرفيوم نامبر ايت 50 ميل زنانه,B,0,-12,-52848000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر تو 100 ميل زنانه,B,0,-6,-33024000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 50,بورلي هيلز پولو کلاب ادوپرفيوم نامبر تو 50 ميل زنانه,B,0,-13,-57252000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر ناين 100 ميل زنانه,B,0,-8,-44032000
